name,slug, years,date,ranking,region
Tonga,tonga,25.9,2024,166,Australia and Oceania
Philippines,philippines,25.7,2024,167,East and Southeast Asia
Honduras,honduras,25.7,2024,168,Central America and the Caribbean
Marshall Islands,marshall-islands,25.5,2024,169,Australia and Oceania
Laos,laos,25.4,2024,170,East and Southeast Asia
Solomon Islands,solomon-islands,25.2,2024,171,Australia and Oceania
Jordan,jordan,25,2024,172,Middle East
Haiti,haiti,25,2024,173,Central America and the Caribbean
Guatemala,guatemala,24.8,2024,174,Central America and the Caribbean
Eswatini,eswatini,24.6,2024,175,Africa
Vanuatu,vanuatu,24.6,2024,176,Australia and Oceania
Egypt,egypt,24.4,2024,177,Africa
Syria,syria,24.1,2024,178,Middle East
Lesotho,lesotho,23.9,2024,179,Africa
Pakistan,pakistan,22.9,2024,180,South Asia
Tajikistan,tajikistan,22.8,2024,181,Central Asia
Namibia,namibia,22.8,2024,182,Africa
Comoros,comoros,22.7,2024,183,Africa
Iraq,iraq,22.4,2024,184,Middle East
Mauritania,mauritania,22.1,2024,185,Africa
Equatorial Guinea,equatorial-guinea,22.1,2024,186,Africa
Gabon,gabon,22,2024,187,Africa
Yemen,yemen,22,2024,188,Middle East
West Bank,west-bank,21.9,2024,189,Middle East
Papua New Guinea,papua-new-guinea,21.7,2024,190,East and Southeast Asia
Ghana,ghana,21.4,2024,191,Africa
Eritrea,eritrea,21.3,2024,192,Africa
Madagascar,madagascar,21.3,2024,193,Africa
Zimbabwe,zimbabwe,21.2,2024,194,Africa
Cote d'Ivoire,cote-divoire,21.2,2024,195,Africa
Kenya,kenya,21.2,2024,196,Africa
Sao Tome and Principe,sao-tome-and-principe,20.8,2024,197,Africa
Rwanda,rwanda,20.8,2024,198,Africa
Togo,togo,20.7,2024,199,Africa
Republic of the Congo, Republic of the Congo,20.7,2024,200,Africa
Timor-Leste,timor-leste,20.6,2024,201,East and Southeast Asia
Central African Republic,central-african-republic,20.4,2024,202,Africa
Ethiopia,ethiopia,20.4,2024,203,Africa
Malawi,malawi,20.3,2024,204,Africa
Gambia, The gambia-the,20.2,2024,205,Africa
Afghanistan,afghanistan,20,2024,206,South Asia
Liberia,liberia,19.9,2024,207,Africa
Gaza Strip,gaza-strip,19.5,2024,208,Middle East
Guinea,guinea,19.4,2024,209,Africa
Sierra Leone,sierra-leone,19.4,2024,210,Africa
Nigeria,nigeria,19.3,2024,211,Africa
Sudan,sudan,19.3,2024,212,Africa
Senegal,senegal,19.2,2024,213,Africa
Tanzania,tanzania,19.1,2024,214,Africa
Somalia,somalia,19.1,2024,215,Africa
Cameroon,cameroon,18.9,2024,216,Africa
South Sudan,south-sudan,18.7,2024,217,Africa
Burkina Faso,burkina-faso,18.7,2024,218,Africa
Zambia,zambia,18.4,2024,219,Africa
Burundi,burundi,18.4,2024,220,Africa
Guinea-Bissau,guinea-bissau,18.4,2024,221,Africa
Mozambique,mozambique,17.3,2024,222,Africa
Benin,benin,17.2,2024,223,Africa
Democratic Republic of the Congo, democratic republic of the congo,16.9,2024,224,Africa
Chad,chad,16.7,2024,225,Africa
Mali,mali,16.4,2024,226,Africa
Angola,angola,16.3,2024,227,Africa
Uganda,uganda,16.2,2024,228,Africa
Niger,niger,15.2,2024,229,Africa
