Entity,Code,Year,Median age - Sex: all - Age: all - Variant: estimates,Median age - Sex: all - Age: all - Variant: medium,time
Liechtenstein,LIE,2022,44.014,NA,2022
Lithuania,LTU,2022,42.633,NA,2022
Luxembourg,LUX,2022,38.676,NA,2022
Madagascar,MDG,2022,18.718,NA,2022
Malawi,MWI,2022,17.335,NA,2022
Malaysia,MYS,2022,29.573,NA,2022
Maldives,MDV,2022,30.339,NA,2022
Mali,MLI,2022,15.349,NA,2022
Malta,MLT,2022,39.746,NA,2022
Marshall Islands,MHL,2022,20.965,NA,2022
Mauritania,MRT,2022,16.992,NA,2022
Mauritius,MUS,2022,36.513,NA,2022
Mexico,MEX,2022,28.528,NA,2022
Micronesia (country),FSM,2022,22.608,NA,2022
Moldova,MDA,2022,37.478,NA,2022
Monaco,MCO,2022,54.975,NA,2022
Mongolia,MNG,2022,26.617,NA,2022
Montenegro,MNE,2022,39.08,NA,2022
Morocco,MAR,2022,28.875,NA,2022
Mozambique,MOZ,2022,16.249,NA,2022
Myanmar,MMR,2022,29.251,NA,2022
Namibia,NAM,2022,20.825,NA,2022
Nauru,NRU,2022,20.573,NA,2022
Nepal,NPL,2022,24.356,NA,2022
Netherlands,NLD,2022,41.463,NA,2022
New Caledonia,NCL,2022,33.589,NA,2022
New Zealand,NZL,2022,37.068,NA,2022
Nicaragua,NIC,2022,24.912,NA,2022
Niger,NER,2022,15.102,NA,2022
Nigeria,NGA,2022,17.567,NA,2022
North Korea,PRK,2022,35.805,NA,2022
North Macedonia,MKD,2022,39.91,NA,2022
Norway,NOR,2022,39.436,NA,2022
Oman,OMN,2022,28.973,NA,2022
Pakistan,PAK,2022,20.148,NA,2022
Palau,PLW,2022,37.484,NA,2022
Palestine,PSE,2022,19.605,NA,2022
Panama,PAN,2022,29.273,NA,2022
Papua New Guinea,PNG,2022,22.127,NA,2022
Paraguay,PRY,2022,26.045,NA,2022
Peru,PER,2022,29.096,NA,2022
Philippines,PHL,2022,24.866,NA,2022
Poland,POL,2022,40.864,NA,2022
Portugal,PRT,2022,45.806,NA,2022
Puerto Rico,PRI,2022,45.197,NA,2022
Qatar,QAT,2022,32.458,NA,2022
Romania,ROU,2022,42.391,NA,2022
Russia,RUS,2022,39.071,NA,2022
Rwanda,RWA,2022,19.22,NA,2022
Saint Kitts and Nevis,KNA,2022,34.971,NA,2022
Saint Lucia,LCA,2022,33.316,NA,2022
Saint Vincent and the Grenadines,VCT,2022,33.633,NA,2022
Samoa,WSM,2022,20.091,NA,2022
San Marino,SMR,2022,46.782,NA,2022
Sao Tome and Principe,STP,2022,18.869,NA,2022
Saudi Arabia,SAU,2022,28.731,NA,2022
Senegal,SEN,2022,18.888,NA,2022
Serbia,SRB,2022,43.675,NA,2022
Seychelles,SYC,2022,33.388,NA,2022
Sierra Leone,SLE,2022,19.04,NA,2022
Singapore,SGP,2022,34.878,NA,2022
Slovakia,SVK,2022,40.904,NA,2022
Slovenia,SVN,2022,43.497,NA,2022
Solomon Islands,SLB,2022,20.03,NA,2022
Somalia,SOM,2022,15.371,NA,2022
South Africa,ZAF,2022,27.919,NA,2022
South Korea,KOR,2022,43.944,NA,2022
South Sudan,SSD,2022,17.59,NA,2022
Spain,ESP,2022,44.392,NA,2022
Sri Lanka,LKA,2022,32.561,NA,2022
Sudan,SDN,2022,18.12,NA,2022
Suriname,SUR,2022,27.865,NA,2022
Sweden,SWE,2022,39.728,NA,2022
Switzerland,CHE,2022,41.961,NA,2022
Syria,SYR,2022,21.588,NA,2022
Taiwan,TWN,2022,42.917,NA,2022
Tajikistan,TJK,2022,21.742,NA,2022
Tanzania,TZA,2022,17.124,NA,2022
Thailand,THA,2022,39.194,NA,2022
Togo,TGO,2022,18.7,NA,2022
Tonga,TON,2022,20.726,NA,2022
Trinidad and Tobago,TTO,2022,36.226,NA,2022
Tunisia,TUN,2022,31.744,NA,2022
Turkey,TUR,2022,32.072,NA,2022
Turkmenistan,TKM,2022,25.931,NA,2022
Tuvalu,TUV,2022,24.256,NA,2022
Uganda,UGA,2022,16.338,NA,2022
Ukraine,UKR,2022,41.451,NA,2022
United Arab Emirates,ARE,2022,30.903,NA,2022
United Kingdom,GBR,2022,39.504,NA,2022
United States,USA,2022,37.72,NA,2022
Uruguay,URY,2022,35.496,NA,2022
Uzbekistan,UZB,2022,26.836,NA,2022
Vanuatu,VUT,2022,20.121,NA,2022
Venezuela,VEN,2022,28.81,NA,2022
Vietnam,VNM,2022,31.938,NA,2022
Western Sahara,ESH,2022,31.698,NA,2022
Yemen,YEM,2022,18.118,NA,2022
Zambia,ZMB,2022,17.288,NA,2022
Zimbabwe,ZWE,2022,17.683,NA,2022
